id,title,content,description,mapurl,latitude,longitude,imageurl,picture
14,자연과학부 화학과,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551253,126.939445,goo.gl/CW19aKe,bar_default.jpeg
15,공학부 전자공학과,우리 주점 맛있어요~ 꼭 와주세요^^,RA관 앞,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%84%EB%8B%B4%EC%83%AC%EA%B4%80&elng=8014faa676a85c757fa01751a04e2255&eelat=&elat=2946cdf2640a1e33f156ed19c440bd32&eelng=,37.550248,126.942055,goo.gl/CW20aKe,bar_default.jpeg
16,공학부 화공생명학과,우리 주점 맛있어요~ 꼭 와주세요^^,RA관 앞,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%84%EB%8B%B4%EC%83%AC%EA%B4%80&elng=8014faa676a85c757fa01751a04e2255&eelat=&elat=2946cdf2640a1e33f156ed19c440bd32&eelng=,37.550248,126.942055,goo.gl/CW21aKe,bar_default.jpeg
17,공학부 기계공학과,우리 주점 맛있어요~ 꼭 와주세요^^,RA관 앞,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%84%EB%8B%B4%EC%83%AC%EA%B4%80&elng=8014faa676a85c757fa01751a04e2255&eelat=&elat=2946cdf2640a1e33f156ed19c440bd32&eelng=,37.550248,126.942055,goo.gl/CW22aKe,bar_default.jpeg
18,공학부 컴퓨터공학과,우리 주점 맛있어요~ 꼭 와주세요^^,RA관 앞,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%84%EB%8B%B4%EC%83%AC%EA%B4%80&elng=8014faa676a85c757fa01751a04e2255&eelat=&elat=2946cdf2640a1e33f156ed19c440bd32&eelng=,37.550248,126.942055,goo.gl/CW23aKe,bar_default.jpeg
19,국제인문학부 매섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW24aKe,bar_default.jpeg
20,국제인문학부 난섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW25aKe,bar_default.jpeg
21,국제인문학부 국섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW26aKe,bar_default.jpeg
22,국제인문학부 죽섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW27aKe,bar_default.jpeg
23,국제인문학부 A섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW28aKe,bar_default.jpeg
24,국제인문학부 B섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW29aKe,bar_default.jpeg
25,국제인문학부 C섹션,우리 주점 맛있어요~ 꼭 와주세요^^,청년광장,http://map.naver.com/?elng=594e5ec910eb154400eae85a164bd3a2&eelat=&elat=705752af70bfb2d1cea3d8d69006b4b9&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%B2%AD%EB%85%84%EA%B4%91%EC%9E%A5&eelng=,37.551307,126.939119,goo.gl/CW30aKe,bar_default.jpeg
26,사회과학부 A섹션,우리 주점 맛있어요~ 꼭 와주세요^^,알바트로스탑,http://map.naver.com/?elng=071493e0e3fa911f5504e4d3cccfa831&eelat=&elat=0cd98ea85d0b0d8d41b1368bfac78689&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%8C%EB%B0%94%ED%8A%B8%EB%A1%9C%EC%8A%A4%ED%83%91&eelng=,37.551433,126.938542,goo.gl/CW31aKe,bar_default.jpeg
27,사회과학부 B섹션,우리 주점 맛있어요~ 꼭 와주세요^^,알바트로스탑,http://map.naver.com/?elng=071493e0e3fa911f5504e4d3cccfa831&eelat=&elat=0cd98ea85d0b0d8d41b1368bfac78689&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%8C%EB%B0%94%ED%8A%B8%EB%A1%9C%EC%8A%A4%ED%83%91&eelng=,37.551433,126.938542,goo.gl/CW32aKe,bar_default.jpeg
28,사회과학부 C섹션,우리 주점 맛있어요~ 꼭 와주세요^^,알바트로스탑,http://map.naver.com/?elng=071493e0e3fa911f5504e4d3cccfa831&eelat=&elat=0cd98ea85d0b0d8d41b1368bfac78689&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%95%8C%EB%B0%94%ED%8A%B8%EB%A1%9C%EC%8A%A4%ED%83%91&eelng=,37.551433,126.938542,goo.gl/CW33aKe,bar_default.jpeg
29,지식융합학부 아트앤테크놀러지,우리 주점 맛있어요~ 꼭 와주세요^^,정문앞공원,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%A0%95%EB%AC%B8&elng=ad19a05d0f43141cef598fda22e7ed57&eelat=&elat=1a389f8c1ee7ffb801b431269851a2fb&eelng=,37.551307,126.937943,goo.gl/CW34aKe,bar_default.jpeg
30,지식융합학부 국제한국하과,우리 주점 맛있어요~ 꼭 와주세요^^,정문앞공원,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%A0%95%EB%AC%B8&elng=ad19a05d0f43141cef598fda22e7ed57&eelat=&elat=1a389f8c1ee7ffb801b431269851a2fb&eelng=,37.551307,126.937943,goo.gl/CW35aKe,bar_default.jpeg
31,커뮤니케이션학부A섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW36aKe,bar_default.jpeg
32,커뮤니케이션학부 B섹션,우리 주점 맛있어요~ 꼭 와주세요^^,K관 앞,http://map.naver.com/?eelng=&elng=80e9b6f553a8786c37006ea559b7e9fe&eelat=&elat=08117e062878a3d98d4dbb6f3d4a71c3&eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EA%B9%80%EB%8C%80%EA%B1%B4%EA%B4%80,37.550194,126.939885,goo.gl/CW37aKe,bar_default.jpeg
33,ELM,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550339,126.941015,goo.gl/CW38aKe,bar_default.jpeg
34,마이티 MITY,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550442,126.94094,goo.gl/CW39aKe,bar_default.jpeg
35,허그 HUG,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550547,126.940867,goo.gl/CW40aKe,bar_default.jpeg
36,마수지 MASU-Z,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550628,126.940826,goo.gl/CW41aKe,bar_default.jpeg
37,아이섹 AIESEC,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550718,126.940765,goo.gl/CW42aKe,bar_default.jpeg
38,현우회,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550793,126.940852,goo.gl/CW43aKe,bar_default.jpeg
39,건드림,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550863,126.940924,goo.gl/CW44aKe,bar_default.jpeg
40,서광회,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.55095,126.941,goo.gl/CW45aKe,bar_default.jpeg
41,굿민턴,우리 주점 맛있어요~ 꼭 와주세요^^,대운동장,http://map.naver.com/?eText=%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90%EC%9A%B4%EB%8F%99%EC%9E%A5&elng=d654589498c872da49be5fcf0ad1dbf6&eelat=&elat=c8d521a325fbfdc76ff758999dff6cac&eelng=,37.550965,126.941186,goo.gl/CW46aKe,bar_default.jpeg
